,문장,활동,숙소,맛집,날씨,카페,인사,관광지추천,소개
2642,음 역대 제주도지사 몇명인지 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2940,제주도 섬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3193,정류장이 있는 관광지 추천 부탁드려요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
761,제주도에서 잘 곳 알려주라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3350,액티비티 할 수 있는 관광지 추천 고,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2803,제주도에서 돌아오는 방법,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1539,강아지랑 같이 갈 카페 있나?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1234,있잖아 방송에 나온 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1038,야 서귀포 맛집은 어디야?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2056,구좌읍 근데 카페 알려주세요,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2824,어 제주도에서 일어난 사건 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
517,중문 저렴한 숙소 추천해줘.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
203,그 제주도 근처 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,안녕,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3056,파도 볼 수 있는 관광지 추천,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
829,제주도 예쁜 숙소 알려줘.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2415,여행 계획 세우는 것을 도와주세요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
630,제주도 20만원대 숙소 추천해줘.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2856,제주도에서 스노쿨링할 곳 소개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
291,서귀포시 2만원대 활동 뭐있지,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,중문여행 숙소추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1224,있잖아 요즘 뜨는 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
574,서귀포 인기 호텔 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,안녕 정보 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1730,제주도 카페 알려줄 수 있니?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2001,별점 어 높은 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2462,제주도의 면적 소개해주세요,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2744,제주도 출신 개그맨 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2037,서귀포시 아 동부 카페 알려줘요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3107,뷰가 이쁜 관광지 추천 부탁해,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1804,케이크 파는 카페는 어디에 추천해줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
487,제주도 애인과 갈 숙소 추천해줘.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1316,음 어르신 입맛에 맞는 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3267,현지인들이 많이 가는 관광지 추천 고,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102,음 제주도 3만원대 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1899,샌드위치을 파는 카페가 있나요?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
605,제주도 리조트 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2480,제주도 지역번호 소개 부탁합니다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018,뷰가 근데 멋진 카페 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2918,음 제주도 여행사 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2751,제주도 평균 돌 크기 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1282,내일 영업하는 맛집 부탁한데이,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1515,2만원대 카페 추천해줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2531,야 제주도에서 많이 피는 꽃 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1734,제주도 카페 어디가 있어?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
495,서귀포 예약이 편리한 숙소 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
494,제주도 예약이 편리한 숙소 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,제주도 야외활동 추천,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957,함덕 해수욕장 근처 맛집 부탁혀,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3152,파도가 이쁜 관광지 추천 해주십시오,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2243,반갑습니다 제주도 정보 주세요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
473,중문 호텔 추천해줘.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
397,제주에서 머무를 숙소가 어디야?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2956,제주도 기념품 소개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1611,비자림 주변에 카페가 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
560,중문 깨끗한 숙소 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
254,서귀포시 재미있는거 알려줘봐,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1336,어 해장국 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
582,서귀포 바다가 보이는 숙소 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2605,아 제주도 오름을 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,제주도 3만원대 활동 추천해봐,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1865,베이커리가 다양한 카페 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2149,하이 정보 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1426,야 해변가 보이는 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1050,아 제주시청 근처 맛집은 어디야?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1863,베이커리 파는 카페가 있나요?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2359,너 제주도 잘 알어?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2356,너 제주도 잘 아니?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2762,제주도 가는 방법 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1453,제주도 카페 추천해줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
598,서귀포관광하기 좋은 숙소 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2878,챗봇 제주도에서 낚시하는 곳 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3275,100일에 가기 좋은 관광지 추천,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1330,해장국 맛집 추천 부탁,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1201,음 예약 가능한 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1377,아 아기자기한 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3160,가 이쁜 관광지 추천 부탁드려요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2830,판포포구가 왜 유명한지 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3356,서핑 할 수 있는 관광지 추천 고,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2790,제주도 역사 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,그 제주도 2만원대 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,서귀포시 3만원대 활동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3133,나무가 이쁜 관광지 추천 부탁드려요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3017,주차가 편리한 관광지 추천,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2099,안녕 정보 좀 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2275,챗봇아 정보 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
99,제주도 3만원대 활동 알려줘봐,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2616,있잖아 제주도에 사는 연예인 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2841,제주도에서 서핑할 곳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
906,월요일에도 영업하는 맛집 알려줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,제주도 놀 것 뭐있지,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2727,제주도 2022년 국비 검색해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1026,아 서쪽 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3271,기념일에 가기 좋은 관광지 추천해주라,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
403,제주 뷰가 좋은 숙소,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
600,중문관광하기 좋은 숙소 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2665,제주도 지형적 특징 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008,편안한 근데 분위기인 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2358,너 제주도 잘 알아?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2847,제주도에서 서핑할 곳 읊어봐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
791,제주도 모텔 추천 부탁해.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,어 제주도 2만원대 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,있잖아 서귀포시 야외활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3239,가 좋은 관광지 추천해줘,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
812,중문 특별한 날에 갈 숙소 알려주라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,지금 예약 가능한 제주도 활동 뭐있어,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621,비자림근처에 카페가 추천해줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3128,나무가 이쁜 관광지 추천 고,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1408,연인이랑 가기 좋은 맛집 추천 부탁,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1625,빙수 파는 카페가 있니?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
171,제주도 활동 중에 안힘든거 추천해봐,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,어 서귀포시 3만원대 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1387,야 제주도 동쪽에 맛있는 식당 알려줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
330,서귀포시 6시에 활동 뭐있어,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2761,제주도 가는 방법 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
161,음 제주도 후기좋은 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,서귀포시 활동 중에 안힘든거 말해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3182,택시 승강장이 있는 관광지 추천해봐,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1822,도넛 전문점 알려줄 수 있나요?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2217,반가워 제주도 정보 좀 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1010,어 제주 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
255,서귀포시 재미있는거 뭐있어,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,지금 예약 가능한 제주도 활동 뭐있지,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3210,후기가 좋은 관광지 추천해주라,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3009,아 제주시의 읍과 면 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2287,제주도 챗봇아,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2066,애견동반 어 가능한 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1380,제주도 동쪽에 맛있는 식당 추천 부탁,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2503,말을 볼 수 있는 곳을 소개해줘이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1552,도넛 파는 카페가 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,제주도 재미있는거 알려줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813,제주도 애인과 갈 숙소 추천 좀,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1012,있잖아 제주 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2805,제주도에서 돌아오는 방법 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2096,안녕 제주도 정보 좀 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1768,주차 가능한 카페 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2759,제주도 가는 방법,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1227,방송에 나온 맛집 말해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1008,야 해물짬뽕 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2428,안녕 계획 세우는거 도와줄래?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
986,흑돼지 구이 맛집 부탁한데이,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3106,뷰가 이쁜 관광지 추천해주라,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2082,2만원대 카페 흠 추천해줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
839,중문 예쁜 숙소 추천 좀,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,하잉 정보 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1921,케이크 카페 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1508,2만원대 카페 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
996,맛있는 횟집은 부탁한데이?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2614,어 제주도에 사는 연예인 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2334,야 정보 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3261,제주 시민들이 많이 가는 관광지 추천,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1919,차를 파는 카페가 있나요?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2028,제주시 동부 카페 근데 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1650,서귀포 카페 있나?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
351,그 서귀포시 9시에 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,애견동반 가능한 음 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1990,별점 높은 제주도 카페 흠 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3123,경치가 이쁜 관광지 추천해주세요,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
921,제주 맛집 부탁한데이,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2070,강아지랑 같이 어 갈 카페 있나요?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2984,그 제주도 행정구역 시 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2812,어 제주도에서 돌아오는 방법 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1217,요즘 뜨는 맛집 말해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1221,음 요즘 뜨는 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75,아 제주도 만원대 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,제주 90만원대 숙소 알려줘.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1537,강아지랑 같이 갈 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2789,제주도 역사 소개,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
595,제주공항근처 오션뷰 숙소 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1104,아 생선조림구이 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
420,제주 숙소 예약하고싶어.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
136,챗봇 제주도 6시에 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,숙박비 저렴한 중문호텔 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3178,이 있는 관광지 추천 해줄래?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
